age,gender,height_cm,weight_kg,activity_level,goal,bmi,daily_calories,weeks_to_goal
22,0,175,80,2,0,26.1,2100,12
25,1,162,65,3,1,24.8,1950,0
30,0,180,95,1,0,29.3,2400,20
28,1,158,70,2,0,28.1,1850,8
35,0,170,75,3,2,26.0,2600,0
40,1,165,60,2,2,22.0,2000,0
45,0,178,100,1,0,31.6,2200,30
22,1,160,55,3,1,21.5,1800,0
26,0,182,85,2,2,25.7,2700,0
31,1,168,78,2,0,27.7,2050,16
19,0,175,68,3,1,22.2,2500,0
33,1,155,85,1,0,35.4,1700,24
27,0,183,90,2,0,26.9,2300,18
24,1,163,58,3,2,21.8,1900,0
38,0,177,88,2,0,28.1,2250,14
29,1,170,72,3,1,24.9,2100,0
42,0,180,105,1,0,32.4,2150,32
21,1,157,52,2,1,21.1,1750,0
36,0,174,82,3,2,27.1,2800,0
23,1,161,61,2,2,23.5,1950,0
50,0,172,95,1,0,32.1,2000,28
44,1,166,76,2,0,27.6,1950,10
26,0,179,78,3,1,24.4,2600,0
32,1,159,67,2,2,26.5,2000,0
37,0,176,92,2,0,29.7,2300,22
20,1,162,50,3,1,19.1,1800,0
45,0,181,98,2,0,29.9,2250,18
29,1,164,70,1,0,26.0,1800,12
34,0,185,88,3,2,25.7,3000,0
27,1,156,60,2,1,24.7,1900,0
48,0,174,110,1,0,36.3,2100,40
23,0,177,72,3,1,23.0,2500,0
31,1,163,75,2,0,28.2,1950,14
26,0,180,82,2,2,25.3,2700,0
39,1,167,80,1,0,28.7,1850,18
22,0,173,70,3,1,23.4,2500,0
35,1,160,65,3,2,25.4,2200,0
41,0,182,96,2,0,29.0,2300,20
28,1,158,56,1,1,22.4,1700,0
30,0,175,85,2,0,27.8,2200,16
25,1,162,72,1,0,27.4,1800,12
33,0,178,80,3,2,25.2,2800,0
46,1,165,85,2,0,31.2,1950,20
21,0,176,68,3,1,21.9,2500,0
38,1,169,74,2,2,25.9,2100,0
27,0,183,78,3,1,23.3,2700,0
44,1,158,88,1,0,35.3,1750,26
29,0,171,76,2,0,26.0,2200,14
36,1,166,62,3,2,22.5,2200,0
24,0,179,86,1,0,26.8,2100,16
